,W/L,TeamGold,OppGold
0,WIN,72.3,55.4
1,LOSS,54.1,71.4
2,LOSS,56.8,65.9
3,LOSS,63.5,75.8
4,LOSS,74.4,84.5
5,LOSS,53.5,64.8
6,WIN,73.4,54.6
7,WIN,58.9,44.6
8,LOSS,67.6,78.5
9,WIN,83.2,68.4
10,WIN,57.5,41.1
11,WIN,69.3,56.4
12,LOSS,71.2,78.3
13,WIN,70,63.4
14,WIN,72.8,67.8
15,WIN,54.9,43.1
16,LOSS,55.2,66.9
17,WIN,67.4,58.2
18,WIN,77.2,63.4
19,WIN,55.7,43.6
20,WIN,69,52.6
21,WIN,55.3,41.2
22,WIN,50.3,36.4
23,WIN,92.2,77.5
24,WIN,62.4,50.5
25,LOSS,76.3,86.4
26,WIN,68,50.6
27,WIN,55.2,44.1
28,WIN,67,52.3
29,LOSS,69,84.4
30,WIN,78.3,62.8
31,LOSS,114.7,131.6
32,WIN,63.4,47.3
33,WIN,77.1,64.5
34,LOSS,86.7,96
35,WIN,57.1,46.5
36,LOSS,56.8,68.4
37,WIN,87.5,77
38,WIN,58.5,48.4
39,WIN,76.8,69.7
40,WIN,57.8,37.7
41,LOSS,52.2,59.3
42,WIN,54.2,39.8
43,WIN,73.1,64.3
44,LOSS,89.7,92.8
45,WIN,62.2,50.1
46,WIN,60.3,50.5
47,WIN,63.4,46.7
48,WIN,90.4,91.1
49,WIN,68.1,53.8
50,LOSS,36.8,46.3
51,LOSS,43.1,57.9
52,LOSS,63.5,77.3
53,WIN,61.3,49
54,LOSS,64.4,71.9
55,WIN,75.2,72.5
56,LOSS,57.4,62.3
57,LOSS,45.5,58.6
58,LOSS,35.1,54.6
59,LOSS,81.9,84.2
60,WIN,76.5,71.3
61,WIN,62.4,49.4
62,LOSS,62.2,67.3
63,WIN,70.4,59.1
64,WIN,65.1,53.3
65,WIN,60.5,51.1
66,LOSS,52.2,67.6
67,WIN,59.1,53.8
68,WIN,73.4,67.7
69,WIN,75.3,66.9
70,WIN,42.8,31.2
71,WIN,82,77.1
72,WIN,81.2,71.7
73,WIN,65.4,60.4
74,WIN,54.8,41.3
75,LOSS,67.7,66.3
76,WIN,77.8,67.7
77,LOSS,52.2,63.3
78,WIN,53.1,34.4
79,WIN,69.9,56.5
80,WIN,66.3,58.8
81,WIN,53.6,42.5
82,LOSS,54.1,65.9
83,WIN,65.2,57.2
84,WIN,48.4,40
85,WIN,53.8,38.2
86,WIN,103.3,92
87,LOSS,73.5,87.5
88,WIN,57.4,43.7
89,LOSS,78.7,82
90,WIN,64.5,48.8
91,LOSS,45,55.2
92,WIN,64.2,57.2
93,WIN,61,52.5
94,WIN,67.3,60.2
95,WIN,56.9,44.1
96,WIN,63.9,47.4
97,WIN,72.6,61.9
98,WIN,97.2,89.9
99,LOSS,78.3,86.8
100,WIN,84.5,77.3
101,WIN,70.8,56.8
102,LOSS,94,94
103,LOSS,59,71.9
104,LOSS,69.4,74.9
105,LOSS,55.2,63.7
106,WIN,66,50
107,LOSS,66.9,79.7
108,WIN,56.8,44.6
109,WIN,77.4,63.1
110,WIN,56.7,36.6
111,WIN,64.7,51.2
112,WIN,65.5,51.1
113,WIN,57.1,46.4
114,LOSS,63.2,69.1
115,WIN,64,46.8
116,LOSS,51.4,66.5
117,WIN,70.5,66.4
118,WIN,51,37.4
119,WIN,82.2,72.4
120,LOSS,89.7,98.8
121,LOSS,70.9,74.6
122,LOSS,61,71.4
123,LOSS,49.1,66
124,WIN,94.2,84.2
