,County,Total Cases,Total Cases per 100k,Total Deaths,Total Deaths per 100k,Fully Vaccinated,Daily Case Avg,Daily Case 14-Day change %,Hospitalized Daily Avg,Hosp. Daily per 100k,Hosp. Daily change %,Deaths Daily Avg.,Deaths Daily per 100k
2423,Abbeville ›,"2,576","10,503",41,167,26%,3,9,8,–55%,0.1,0.47,32%
1138,Acadia ›,"6,545","10,549",192,309,24%,15,10,8,+10%,0,—,20%
2939,Accomack ›,"2,830","8,757",41,127,—,13,5,7,–34%,0.6,0.23,—
2131,Adair ›,"3,181","14,333",41,185,18%,6,7,7,–19%,0.1,0.18,27%
822,Adair ›,865,"12,095",32,447,34%,1,9,14,+99%,0.1,1.34,39%
1539,Adair ›,"2,465","9,727",20,79,30%,<1,6,11,–12%,0,—,19%
1047,Adair ›,"1,888","9,832",54,281,23%,<1,16,20,—,0,—,25%
3184,Adams ›,"1,945","9,619",17,84,37%,<1,4,—,—,0,—,36%
1704,Adams ›,"2,970","9,470",46,147,26%,<1,6,14,+156%,0,—,29%
2021,Adams ›,270,"12,184",3,135,36%,<1,5,—,–100%,0,—,52%
607,Adams ›,"8,452","12,917",152,232,35%,10,21,7,–58%,0.4,0.88,35%
760,Adams ›,"3,484","9,738",55,154,23%,2,9,8,–1%,0.3,1.09,33%
3028,Adams ›,"2,132","10,669",22,110,26%,23,30,7,–6%,0.3,0.38,33%
578,Adams ›,341,"7,941",4,93,29%,<1,4,—,–100%,0,—,27%
870,Adams ›,338,"9,384",4,111,37%,<1,3,2,–48%,0,—,37%
250,Adams ›,"59,341","11,469",720,139,—,13,27,—,–100%,0.1,0.30,—
1469,Adams ›,"2,868","9,344",82,267,26%,<1,3,6,+29%,0.1,1.28,22%
2272,Adams ›,"9,373","9,099",180,175,30%,57,16,18,–33%,0.9,0.25,36%
2096,Adams ›,"2,393","8,640",52,188,20%,3,5,6,+36%,0,—,34%
557,Ada ›,"52,189","10,837",467,97,38%,6,5,13,–24%,0,—,28%
2890,Addison ›,"1,042","2,833",8,22,—,2,6,2,–59%,0,—,—
2368,Adjuntas,549,"3,173",—,—,23%,<1,5,—,—,0,—,28%
2351,Aguada,"1,522","4,156",—,—,26%,<1,8,—,—,0,—,51%
2360,Aguadilla,"1,842","3,640",—,—,27%,2,6,—,—,0,—,26%
2328,Aguas Buenas,"1,355","5,453",—,—,29%,16,9,—,—,0,—,34%
2362,Aibonito,793,"3,581",—,—,38%,2,6,—,—,0,—,28%
2426,Aiken ›,"17,304","10,127",224,131,26%,2,8,7,–45%,0,—,22%
1390,Aitkin ›,"1,347","8,479",36,227,43%,<1,7,13,–38%,0,—,37%
360,Alachua ›,"25,009","9,296",279,104,36%,11,10,13,+4%,0.6,0.52,39%
1912,Alamance ›,"18,189","10,730",277,163,33%,34,14,15,–8%,0.3,0.12,28%
229,Alameda ›,"87,961","5,263","1,657",99,45%,<1,6,5,–5%,0,—,—
262,Alamosa ›,"1,565","9,641",31,191,—,4,15,—,–100%,0,—,—
3195,Albany ›,"4,406","11,332",12,31,34%,4,18,—,—,0,—,25%
1851,Albany ›,"24,385","7,982",350,115,48%,8,14,9,–27%,0,—,46%
3017,Albemarle ›,"5,768","5,276",83,76,—,<1,2,8,–36%,0.1,2.05,—
1302,Alcona ›,726,"6,977",29,279,42%,1,17,—,—,0,—,50%
1475,Alcorn ›,"3,133","8,478",68,184,20%,<1,2,—,–100%,0,—,27%
71,Aleutians East Borough ›,365,"10,938",3,90,31%,5,9,1,–80%,0,—,32%
69,Aleutians West Census Area,697,"12,371",0,—,29%,14,15,10,+3%,0.4,0.44,31%
691,Alexander ›,468,"8,124",11,191,17%,<1,3,10,+24%,0,—,35%
