,County,Total Cases,Total Cases per 100k,Total Deaths,Total Deaths per 100k,Fully Vaccinated,Daily Case Avg,Daily Case 14-Day change %,Hospitalized Daily Avg,Hosp. Daily per 100k,Hosp. Daily change %,Deaths Daily Avg.,Deaths Daily per 100k
0,Abbeville ›,2576.0,10503.0,41.0,167.0,26.0,3.0,9.0,8,-55.0,0.1,0.47,32.0
1,Acadia ›,6545.0,10549.0,192.0,309.0,24.0,15.0,10.0,8,10.0,0.0,,20.0
2,Accomack ›,2830.0,8757.0,41.0,127.0,0.0,13.0,5.0,7,-34.0,0.6,0.23,25.536858475894245
3,Adair ›,3181.0,14333.0,41.0,185.0,18.0,6.0,7.0,7,-19.0,0.1,0.18,27.0
4,Adair ›,865.0,12095.0,32.0,447.0,34.0,1.0,9.0,14,99.0,0.1,1.34,39.0
5,Adair ›,2465.0,9727.0,20.0,79.0,30.0,1.0,6.0,11,-12.0,0.0,,19.0
6,Adair ›,1888.0,9832.0,54.0,281.0,23.0,1.0,16.0,20,0.0,0.0,,25.0
7,Adams ›,1945.0,9619.0,17.0,84.0,37.0,1.0,4.0,,0.0,0.0,,36.0
8,Adams ›,2970.0,9470.0,46.0,147.0,26.0,1.0,6.0,14,156.0,0.0,,29.0
9,Adams ›,270.0,12184.0,3.0,135.0,36.0,1.0,5.0,,-100.0,0.0,,52.0
10,Adams ›,8452.0,12917.0,152.0,232.0,35.0,10.0,21.0,7,-58.0,0.4,0.88,35.0
11,Adams ›,3484.0,9738.0,55.0,154.0,23.0,2.0,9.0,8,-1.0,0.3,1.09,33.0
12,Adams ›,2132.0,10669.0,22.0,110.0,26.0,23.0,30.0,7,-6.0,0.3,0.38,33.0
13,Adams ›,341.0,7941.0,4.0,93.0,29.0,1.0,4.0,,-100.0,0.0,,27.0
14,Adams ›,338.0,9384.0,4.0,111.0,37.0,1.0,3.0,2,-48.0,0.0,,37.0
15,Adams ›,59341.0,11469.0,720.0,139.0,0.0,13.0,27.0,,-100.0,0.1,0.3,25.536858475894245
16,Adams ›,2868.0,9344.0,82.0,267.0,26.0,1.0,3.0,6,29.0,0.1,1.28,22.0
17,Adams ›,9373.0,9099.0,180.0,175.0,30.0,57.0,16.0,18,-33.0,0.9,0.25,36.0
18,Adams ›,2393.0,8640.0,52.0,188.0,20.0,3.0,5.0,6,36.0,0.0,,34.0
19,Ada ›,52189.0,10837.0,467.0,97.0,38.0,6.0,5.0,13,-24.0,0.0,,28.0
20,Addison ›,1042.0,2833.0,8.0,22.0,0.0,2.0,6.0,2,-59.0,0.0,,25.536858475894245
21,Adjuntas,549.0,3173.0,184.76028052279247,201.96666666666667,23.0,1.0,5.0,,0.0,0.0,,28.0
22,Aguada,1522.0,4156.0,184.76028052279247,201.96666666666667,26.0,1.0,8.0,,0.0,0.0,,51.0
23,Aguadilla,1842.0,3640.0,184.76028052279247,201.96666666666667,27.0,2.0,6.0,,0.0,0.0,,26.0
24,Aguas Buenas,1355.0,5453.0,184.76028052279247,201.96666666666667,29.0,16.0,9.0,,0.0,0.0,,34.0
25,Aibonito,793.0,3581.0,184.76028052279247,201.96666666666667,38.0,2.0,6.0,,0.0,0.0,,28.0
26,Aiken ›,17304.0,10127.0,224.0,131.0,26.0,2.0,8.0,7,-45.0,0.0,,22.0
27,Aitkin ›,1347.0,8479.0,36.0,227.0,43.0,1.0,7.0,13,-38.0,0.0,,37.0
28,Alachua ›,25009.0,9296.0,279.0,104.0,36.0,11.0,10.0,13,4.0,0.6,0.52,39.0
29,Alamance ›,18189.0,10730.0,277.0,163.0,33.0,34.0,14.0,15,-8.0,0.3,0.12,28.0
30,Alameda ›,87961.0,5263.0,1657.0,99.0,45.0,1.0,6.0,5,-5.0,0.0,,25.536858475894245
31,Alamosa ›,1565.0,9641.0,31.0,191.0,0.0,4.0,15.0,,-100.0,0.0,,25.536858475894245
32,Albany ›,4406.0,11332.0,12.0,31.0,34.0,4.0,18.0,,0.0,0.0,,25.0
33,Albany ›,24385.0,7982.0,350.0,115.0,48.0,8.0,14.0,9,-27.0,0.0,,46.0
34,Albemarle ›,5768.0,5276.0,83.0,76.0,0.0,1.0,2.0,8,-36.0,0.1,2.05,25.536858475894245
35,Alcona ›,726.0,6977.0,29.0,279.0,42.0,1.0,17.0,,0.0,0.0,,50.0
36,Alcorn ›,3133.0,8478.0,68.0,184.0,20.0,1.0,2.0,,-100.0,0.0,,27.0
37,Aleutians East Borough ›,365.0,10938.0,3.0,90.0,31.0,5.0,9.0,1,-80.0,0.0,,32.0
38,Aleutians West Census Area,697.0,12371.0,0.0,201.96666666666667,29.0,14.0,15.0,10,3.0,0.4,0.44,31.0
39,Alexander ›,468.0,8124.0,11.0,191.0,17.0,1.0,3.0,10,24.0,0.0,,35.0
40,Alexander ›,4397.0,11726.0,84.0,224.0,27.0,4.0,19.0,4,-16.0,0.0,,24.0
41,Alexandria ›,11780.0,7389.0,135.0,85.0,0.0,2.0,8.0,7,-27.0,0.1,0.47,25.536858475894245
42,Alfalfa ›,1154.0,20239.0,6.0,105.0,33.0,7.0,17.0,7,-15.0,0.1,0.37,24.0
43,Alger ›,662.0,7268.0,6.0,66.0,43.0,10.0,11.0,14,-53.0,0.7,0.77,46.0
44,Allamakee ›,1514.0,11062.0,51.0,373.0,37.0,1.0,6.0,12,300.0,0.0,,36.0
45,Allegany ›,6912.0,9816.0,208.0,295.0,33.0,82.0,14.0,34,-25.0,2.4,0.41,34.0
46,Allegany ›,3398.0,7372.0,84.0,182.0,27.0,19.0,12.0,6,11.0,0.4,0.28,43.0
47,Allegan ›,10784.0,9133.0,139.0,118.0,32.0,394.0,22.0,30,-33.0,14.0,0.8,31.0
48,Alleghany ›,1051.0,9437.0,5.0,45.0,35.0,7.0,11.0,8,-6.0,0.3,0.45,26.0
49,Alleghany ›,1342.0,9031.0,48.0,323.0,0.0,5.0,6.0,4,-61.0,0.0,,25.536858475894245
50,Allegheny ›,99709.0,8199.0,1934.0,159.0,41.0,5.0,13.0,12,26.0,0.1,0.37,27.0
51,Allendale ›,930.0,10704.0,15.0,173.0,26.0,2.0,12.0,9,-32.0,0.0,,25.0
52,Allen ›,3192.0,12456.0,92.0,359.0,18.0,4.0,20.0,8,4.0,0.0,,23.0
53,Allen ›,11704.0,11435.0,232.0,227.0,28.0,62.0,14.0,19,-26.0,0.9,0.2,37.0
54,Allen ›,40834.0,10766.0,699.0,184.0,30.0,5.0,6.0,7,-5.0,0.1,0.17,34.0
55,Allen ›,1244.0,10057.0,19.0,154.0,28.0,0.0,,,0.0,0.0,,29.0
56,Allen ›,2078.0,9749.0,40.0,188.0,26.0,3.0,14.0,5,210.0,0.0,,31.0
57,Alpena ›,2195.0,7728.0,60.0,211.0,38.0,4.0,16.0,6,-18.0,0.0,,45.0
58,Alpine ›,88.0,7795.0,0.0,201.96666666666667,0.0,50.0,5.0,9,-19.0,1.7,0.17,31.0
59,Amador ›,3657.0,9200.0,47.0,118.0,31.0,6.0,6.0,5,-30.0,0.1,0.15,29.0
60,Amelia ›,902.0,6862.0,32.0,243.0,0.0,1.0,6.0,11,-8.0,0.0,,25.536858475894245
61,Amherst ›,2923.0,9249.0,37.0,117.0,0.0,4.0,7.0,19,27.0,0.1,0.25,25.536858475894245
62,Amite ›,1231.0,10011.0,42.0,342.0,20.0,1.0,4.0,5,-65.0,0.0,,23.0
63,Anchorage Municipality ›,30305.0,10523.0,171.0,59.0,40.0,1.0,27.0,4,-46.0,0.0,,36.0
64,Anderson ›,22910.0,11310.0,521.0,257.0,24.0,6.0,8.0,6,-8.0,0.1,0.21,27.0
65,Anderson ›,1742.0,7658.0,22.0,97.0,35.0,2.0,5.0,4,-45.0,0.1,0.46,22.0
66,Anderson ›,6201.0,10740.0,123.0,213.0,14.0,2.0,13.0,,-100.0,0.0,,33.0
67,Anderson ›,8792.0,11421.0,171.0,222.0,33.0,1.0,7.0,,0.0,0.0,,22.0
68,Anderson ›,837.0,10652.0,18.0,229.0,27.0,1.0,3.0,,0.0,0.0,,27.0
69,Andrews ›,1824.0,9751.0,47.0,251.0,27.0,1.0,7.0,8,-22.0,0.0,,35.0
70,Andrew ›,1861.0,10507.0,20.0,113.0,23.0,2.0,14.0,,0.0,0.0,,23.0
71,Androscoggin ›,7868.0,7267.0,72.0,66.0,38.0,45.0,41.0,15,1.0,0.0,,38.0
72,Angelina ›,8597.0,9914.0,280.0,323.0,25.0,1.0,7.0,6,-74.0,0.0,,27.0
73,Anne Arundel ›,43315.0,7478.0,606.0,105.0,41.0,15.0,9.0,28,-24.0,0.3,0.2,42.0
74,Anoka ›,41604.0,11656.0,438.0,123.0,31.0,3.0,18.0,17,-19.0,0.3,1.75,27.0
75,Anson ›,2581.0,10558.0,55.0,225.0,15.0,7.0,13.0,4,-39.0,0.0,,16.0
76,Antelope ›,534.0,8479.0,7.0,111.0,26.0,1.0,3.0,,-100.0,0.1,0.43,26.0
77,Antrim ›,1924.0,8249.0,27.0,116.0,41.0,14.0,19.0,20,-26.0,0.6,0.76,33.0
78,Apache ›,11381.0,15832.0,429.0,597.0,49.0,467.0,10.0,9,-5.0,6.3,0.14,30.0
79,Appanoose ›,1280.0,10301.0,49.0,394.0,32.0,1.0,5.0,11,14.0,0.0,,33.0
80,Appling ›,2321.0,12624.0,71.0,386.0,0.0,18.0,12.0,38,-15.0,0.7,0.49,25.536858475894245
81,Appomattox ›,1592.0,10006.0,25.0,157.0,0.0,14.0,10.0,4,-70.0,0.4,0.32,25.536858475894245
82,Aransas ›,1251.0,5321.0,40.0,170.0,35.0,0.0,,8,118.0,0.0,,33.0
