,Player,Role,Kills,Deaths,Assists,KDA,CS,CS in Team's Jungle,CS in Enemy Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Damage dealt to turrets,Total heal,Damage self mitigated,Time ccing others,Total damage taken,Champions
0,Wunder,TOP,1,2,4,2.5,223,0,0,6.8,9582,294,19%,30,16,2,5,0.92,0.49,0.15,0.06,13.9%,12997,3595,9352,50,398,25%,0.15,62.5%,,0,0,0,0,-1525,-2,-772,-1,0,5664,13401,19,13312,Karma
1,Jankos,JUNGLE,1,6,3,0.7,190,122,12,5.8,9150,280,18.2%,40,9,9,8,1.23,0.28,0.25,0.28,18.5%,5776,1914,3290,572,177,11.1%,0.12,50%,,0,0,0,0,-1343,-18,-961,-1,166,11461,36326,16,31810,Udyr
2,Caps,MID,4,3,2,2,248,5,4,7.6,11497,352,22.8%,18,11,4,6,0.55,0.34,0.18,0.12,8.3%,16261,57,16004,200,498,31.3%,0.18,75%,,0,0,0,0,-974,-24,-458,-1,0,6035,19179,34,26005,Sylas
3,Rekkles,ADC,2,2,5,3.5,348,4,0,10.7,13783,422,27.4%,42,11,9,3,1.29,0.34,0.09,0.28,19.4%,12924,10679,1623,622,396,24.9%,0.21,87.5%,,0,0,0,0,341,16,1496,2,502,3107,8251,30,13707,Ashe
4,Mikyx,SUPPORT,0,5,6,1.2,31,0,0,0.9,6328,194,12.6%,86,60,7,18,2.64,1.84,0.55,0.21,39.8%,3959,416,3049,494,121,7.6%,0.18,75%,,0,0,0,0,-881,-9,-1288,-2,0,2098,20684,19,19184,Braum
5,Odoamne,TOP,1,0,11,Perfect KDA,243,8,4,7.4,12422,381,19.6%,29,12,7,2,0.89,0.37,0.06,0.21,11.5%,12638,11176,1462,0,387,16.8%,0.37,66.7%,,0,0,0,0,1525,2,772,1,3874,11085,34066,15,28403,Renekton
6,Inspired,JUNGLE,5,2,10,7.5,221,112,24,6.8,12613,387,19.9%,39,11,9,9,1.2,0.34,0.28,0.28,15.5%,14999,779,10413,3807,460,20%,0.46,83.3%,,1,0,0,0,1343,18,961,1,273,13531,19303,33,28600,Lillia
7,Larssen,MID,4,1,12,16,293,16,12,9,14967,459,23.6%,38,13,7,2,1.16,0.4,0.06,0.21,15.1%,24918,1673,22995,250,764,33.2%,0.49,88.9%,,1,0,0,0,974,24,458,1,4569,576,5740,23,7709,Orianna
8,Hans sama,ADC,5,2,6,5.5,294,14,9,9,14553,446,23%,65,11,16,3,1.99,0.34,0.09,0.49,25.8%,17678,13365,3332,981,542,23.5%,0.34,61.1%,,0,0,0,0,-341,-16,-1496,-2,5144,2505,5720,31,12456,Varus
9,Trymbi,SUPPORT,3,3,12,5,38,0,0,1.2,8776,269,13.9%,81,38,11,14,2.48,1.16,0.43,0.34,32.1%,4836,887,3213,736,148,6.4%,0.46,83.3%,,0,0,0,0,881,9,1288,2,956,2857,13658,18,13299,Thresh
